Price,Year,Mileage,City,State,Vin,Make,Model
9885,2012,36020,Coral Springs, FL,JHMFB4F21CS004571,Honda,Civic
12659,2012,27413,Fargo, ND,JHMFB4F3XCS005548,Honda,Civic
12977,2012,23673,Beaverton, OR,JHMFB4F2XCS004813,Honda,Civic
14999,2015,4197,New Orleans, LA,19XFB4F29FE002608,Honda,Civic
10995,2013,50719,Greenville, SC,19XFB4F21DE000512,Honda,Civic
10995,2012,49299,West Palm Beach, FL,JHMFB4F34CS005402,Honda,Civic
9990,2013,55314,Alpharetta, GA,19XFB4F23DE203756,Honda,Civic
15984,2015,23246,Fredericksburg, VA,19XFB4F22FE000442,Honda,Civic
15989,2015,3051,Spring Branch, TX,19XFB4F23FE001891,Honda,Civic
11233,2014,63125,East Stroudsburg, PA,19XFB4F24EE001753,Honda,Civic
9777,2012,72894,Lindenhurst, IL,JHMFB4F22CS001260,Honda,Civic
14499,2015,23597,West Covina, CA,19XFB4F21FE201409,Honda,Civic
15995,2015,13103,Evanston, IL,19XFB4F39FE000589,Honda,Civic
16498,2015,3998,Lakewood, NJ,19XFB4F27FE201107,Honda,Civic
9498,2012,59877,Marlborough, MA,JHMFB4F33CS011434,Honda,Civic
13499,2014,29065,Montebello, CA,19XFB4F27EE001746,Honda,Civic
15000,2014,24450,N. Charleston, SC,19XFB4F2XEE001482,Honda,Civic
6995,2008,75490,Williston, VT,JHMFA36268S028756,Honda,Civic
13986,2015,33023,Windsor Locks, CT,19XFB4F21FE200874,Honda,Civic
10887,2012,60158,Encinitas, CA,JHMFB4F32CS001655,Honda,Civic
6995,2009,74350,Blauvelt, NY,JHMFA36289S016691,Honda,Civic
16000,2015,19598,Greenfield, WI,19XFB4F29FE001474,Honda,Civic
15840,2015,27328,Midwest City, OK,19XFB4F23FE001874,Honda,Civic
13454,2013,48267,Highlands Ranch, CO,19XFB4F35DE003812,Honda,Civic
12501,2013,51383,Pauls Valley, OK,19XFB4F27DE002507,Honda,Civic
17123,2015,15003,Beavercreek, OH,19XFB4F21FE001288,Honda,Civic
15900,2014,30654,Columbia, MO,19XFB4F26EE000586,Honda,Civic
13389,2014,48007,Edmonds, WA,19XFB4F24EE000067,Honda,Civic
7250,2006,67266,Greeley, CO,JHMFA36226S002071,Honda,Civic
8480,2008,44576,Lincoln, NE,JHMFA36238S007041,Honda,Civic
12493,2014,47897,Akron, OH,19XFB4F22EE001590,Honda,Civic
16998,2015,4222,Roslyn, PA,19XFB4F21FE000822,Honda,Civic
14880,2013,31507,Chesapeake, VA,19XFB4F25DE002456,Honda,Civic
11855,2013,49448,Mechanicsville, VA,19XFB4F20DE200460,Honda,Civic
14661,2013,26171,Durham, NC,19XFB4F28DE202182,Honda,Civic
15599,2015,32238,Hagerstown, MD,19XFB4F31FE201693,Honda,Civic
12750,2013,49621,Kingman, AZ,19XFB4F28DE003648,Honda,Civic
15560,2014,18153,Cleveland Heights, OH,19XFB4F27EE001696,Honda,Civic
15895,2014,20235,Oklahoma City, OK,19XFB4F29EE001585,Honda,Civic
15206,2015,38311,Meridian, MS,19XFB4F29FE002043,Honda,Civic
13995,2014,34997,Sykesville, MD,19XFB4F26EE001527,Honda,Civic
16586,2015,20762,Memphis, TN,19XFB4F20FE001363,Honda,Civic
15360,2014,21948,Cleveland Heights, OH,19XFB4F28EE002078,Honda,Civic
12995,2013,38787,Temple Hills, MD,19XFB4F23DE201022,Honda,Civic
13232,2015,61652,Bentonville, AR,19XFB4F22FE000778,Honda,Civic
14795,2014,31604,Gurnee, IL,19XFB4F28EE000315,Honda,Civic
17650,2015,10890,Salisbury, MD,19XFB4F21FE000545,Honda,Civic
13988,2013,38208,Renton, WA,19XFB4F27DE001437,Honda,Civic
15450,2014,37415,Citrus Heights, CA,19XFB4F21EE201375,Honda,Civic
17364,2015,13062,Toms River, NJ,19XFB4F26FE200496,Honda,Civic
11990,2014,63126,Calera, AL,19XFB4F28EE000587,Honda,Civic
13488,2013,55262,San Antonio, TX,19XFB4F33DE001315,Honda,Civic
14795,2014,40368,Merriam, KS,19XFB4F26EE000572,Honda,Civic
7999,2011,96721,Waite Park, MN,JHMFA3F22BS000900,Honda,Civic
8600,2016,14872,Miami, FL,2HGFC2F51GH538956,Honda,Civic
12557,2013,66226,Lisle, IL,19XFB4F23DE002021,Honda,Civic
16500,2015,30337,Hemet, CA,19XFB4F22FE201791,Honda,Civic
5868,2006,83586,Leesburg, VA,JHMFA36256S000685,Honda,Civic
11995,2013,57473,Fredericksburg, VA,19XFB4F29DE202496,Honda,Civic
16341,2015,33523,Durham, NC,19XFB4F20FE001394,Honda,Civic
8499,2012,91793,Chantilly, VA,JHMFB4F20CS009101,Honda,Civic
13995,2015,51843,Charlotte, NC,19XFB4F27FE001831,Honda,Civic
15490,2015,43735,Catonsville, MD,19XFB4F29FE000910,Honda,Civic
13594,2013,40234,Scottsdale, AZ,19XFB4F28DE003004,Honda,Civic
15000,2014,39140,Mesa, AZ,19XFB4F22EE000987,Honda,Civic
7995,2006,52874,Schaumburg, IL,JHMFA36256S023982,Honda,Civic
13997,2014,71678,San Antonio, TX,19XFB4F28EE001027,Honda,Civic
15990,2014,31909,Fredericksburg, VA,19XFB4F31EE201028,Honda,Civic
8880,2009,77128,Gainesville, FL,JHMFA36299S006140,Honda,Civic
13399,2012,53648,Colorado Springs, CO,JHMFB4F39CS003886,Honda,Civic
17249,2015,29312,Auburn, CA,19XFB4F2XFE200064,Honda,Civic
