Date,RegionName,HospitalizedPatients,IntensiveCarePatients,HomeConfinement,Recovered,Deaths
2020-02-24,Abruzzo,0,0,0,0,0
2020-02-25,Abruzzo,0,0,0,0,0
2020-02-26,Abruzzo,0,0,0,0,0
2020-02-27,Abruzzo,1,0,0,0,0
2020-02-28,Abruzzo,1,0,0,0,0
2020-02-29,Abruzzo,2,0,0,0,0
2020-03-01,Abruzzo,3,0,2,0,0
2020-03-02,Abruzzo,3,0,2,0,0
2020-03-03,Abruzzo,5,0,1,0,0
2020-03-04,Abruzzo,7,0,0,0,0
2020-03-05,Abruzzo,8,0,0,0,0
2020-03-06,Abruzzo,9,0,0,0,0
2020-03-07,Abruzzo,11,0,0,0,0
2020-03-08,Abruzzo,14,0,3,0,0
2020-03-09,Abruzzo,25,0,5,0,0
2020-03-10,Abruzzo,17,9,11,0,1
2020-03-11,Abruzzo,17,9,11,0,1
2020-03-12,Abruzzo,47,12,19,4,2
2020-03-13,Abruzzo,42,14,27,4,2
2020-02-24,Basilicata,0,0,0,0,0
2020-02-25,Basilicata,0,0,0,0,0
2020-02-26,Basilicata,0,0,0,0,0
2020-02-27,Basilicata,0,0,0,0,0
2020-02-28,Basilicata,0,0,0,0,0
2020-02-29,Basilicata,0,0,0,0,0
2020-03-01,Basilicata,0,0,0,0,0
2020-03-02,Basilicata,0,0,0,0,0
2020-03-03,Basilicata,0,0,1,0,0
2020-03-04,Basilicata,0,0,1,0,0
2020-03-05,Basilicata,0,0,1,0,0
2020-03-06,Basilicata,1,0,2,0,0
2020-03-07,Basilicata,1,0,2,0,0
2020-03-08,Basilicata,2,0,2,0,0
2020-03-09,Basilicata,2,0,3,0,0
2020-03-10,Basilicata,2,0,5,0,0
2020-03-11,Basilicata,1,1,6,0,0
2020-03-12,Basilicata,1,1,6,0,0
2020-03-13,Basilicata,1,1,8,0,0
2020-02-24,Calabria,0,0,0,0,0
2020-02-25,Calabria,0,0,0,0,0
2020-02-26,Calabria,0,0,0,0,0
2020-02-27,Calabria,0,0,0,0,0
2020-02-28,Calabria,0,0,1,0,0
2020-02-29,Calabria,0,0,1,0,0
2020-03-01,Calabria,0,0,1,0,0
2020-03-02,Calabria,0,0,1,0,0
2020-03-03,Calabria,0,0,1,0,0
2020-03-04,Calabria,0,0,1,0,0
2020-03-05,Calabria,1,0,1,0,0
2020-03-06,Calabria,2,0,2,0,0
2020-03-07,Calabria,2,0,2,0,0
2020-03-08,Calabria,5,0,4,0,0
2020-03-09,Calabria,8,0,1,2,0
2020-03-10,Calabria,8,2,1,2,0
2020-03-11,Calabria,10,2,5,2,0
2020-03-12,Calabria,14,2,16,1,0
2020-03-13,Calabria,18,3,16,1,0
2020-02-24,Campania,0,0,0,0,0
2020-02-25,Campania,0,0,0,0,0
2020-02-26,Campania,0,0,0,0,0
2020-02-27,Campania,2,0,1,0,0
2020-02-28,Campania,2,0,2,0,0
2020-02-29,Campania,3,0,10,0,0
2020-03-01,Campania,4,0,13,0,0
2020-03-02,Campania,4,0,13,0,0
2020-03-03,Campania,11,0,19,0,0
2020-03-04,Campania,11,0,20,0,0
2020-03-05,Campania,12,0,33,0,0
2020-03-06,Campania,12,0,45,0,0
2020-03-07,Campania,16,0,45,0,0
2020-03-08,Campania,30,7,63,1,0
2020-03-09,Campania,42,8,69,1,0
2020-03-10,Campania,33,8,85,1,0
2020-03-11,Campania,56,11,82,4,1
2020-03-12,Campania,56,11,107,4,1
2020-03-13,Campania,60,19,134,5,2
2020-02-24,Emilia Romagna,10,2,6,0,0
2020-02-25,Emilia Romagna,15,2,9,0,0
2020-02-26,Emilia Romagna,20,3,23,0,1
2020-02-27,Emilia Romagna,36,6,54,0,1
2020-02-28,Emilia Romagna,56,6,81,0,2
2020-02-29,Emilia Romagna,86,11,116,0,4
2020-03-01,Emilia Romagna,127,13,137,0,8
2020-03-02,Emilia Romagna,148,16,160,0,11
2020-03-03,Emilia Romagna,187,24,187,4,18
2020-03-04,Emilia Romagna,256,26,234,6,22
2020-03-05,Emilia Romagna,327,32,299,10,30
2020-03-06,Emilia Romagna,397,53,366,17,37
2020-03-07,Emilia Romagna,464,64,409,25,48
2020-03-08,Emilia Romagna,542,75,480,27,56
2020-03-09,Emilia Romagna,576,90,620,30,70
2020-03-10,Emilia Romagna,669,98,650,31,85
2020-03-11,Emilia Romagna,745,104,739,38,113
2020-03-12,Emilia Romagna,814,112,832,43,146
2020-03-13,Emilia Romagna,942,128,941,51,201
2020-02-24,Friuli Venezia Giulia,0,0,0,0,0
2020-02-25,Friuli Venezia Giulia,0,0,0,0,0
2020-02-26,Friuli Venezia Giulia,0,0,0,0,0
2020-02-27,Friuli Venezia Giulia,0,0,0,0,0
2020-02-28,Friuli Venezia Giulia,0,0,0,0,0
2020-02-29,Friuli Venezia Giulia,0,0,0,0,0
2020-03-01,Friuli Venezia Giulia,0,0,6,0,0
2020-03-02,Friuli Venezia Giulia,0,0,9,0,0
2020-03-03,Friuli Venezia Giulia,1,0,12,0,0
2020-03-04,Friuli Venezia Giulia,3,0,15,0,0
2020-03-05,Friuli Venezia Giulia,4,0,17,0,0
2020-03-06,Friuli Venezia Giulia,4,0,24,3,0
2020-03-07,Friuli Venezia Giulia,7,1,31,3,0
2020-03-08,Friuli Venezia Giulia,7,1,45,3,1
2020-03-09,Friuli Venezia Giulia,18,1,70,3,1
2020-03-10,Friuli Venezia Giulia,27,6,77,3,3
2020-03-11,Friuli Venezia Giulia,16,5,89,10,6
2020-03-12,Friuli Venezia Giulia,23,10,115,11,8
2020-03-13,Friuli Venezia Giulia,59,8,169,11,10
2020-02-24,Lazio,1,1,0,1,0
2020-02-25,Lazio,1,1,0,1,0
2020-02-26,Lazio,0,0,0,3,0
2020-02-27,Lazio,0,0,0,3,0
2020-02-28,Lazio,0,0,0,3,0
2020-02-29,Lazio,3,0,0,3,0
2020-03-01,Lazio,3,0,0,3,0
2020-03-02,Lazio,3,0,1,3,0
2020-03-03,Lazio,10,0,1,3,0
2020-03-04,Lazio,15,3,9,3,0
2020-03-05,Lazio,20,7,14,3,0
2020-03-06,Lazio,26,8,16,3,1
2020-03-07,Lazio,43,8,21,3,1
2020-03-08,Lazio,47,8,26,3,3
2020-03-09,Lazio,55,8,31,3,5
2020-03-10,Lazio,50,15,34,11,6
2020-03-11,Lazio,67,18,40,19,6
2020-03-12,Lazio,85,20,67,19,9
2020-03-13,Lazio,122,24,96,24,11
2020-02-24,Liguria,0,0,0,0,0
2020-02-25,Liguria,1,0,0,0,0
2020-02-26,Liguria,6,0,5,0,0
2020-02-27,Liguria,9,0,10,0,0
2020-02-28,Liguria,9,0,10,0,0
2020-02-29,Liguria,4,1,33,4,0
2020-03-01,Liguria,12,1,8,4,0
2020-03-02,Liguria,12,1,5,4,0
2020-03-03,Liguria,12,2,5,4,1
2020-03-04,Liguria,10,3,8,4,1
2020-03-05,Liguria,11,3,7,4,3
2020-03-06,Liguria,12,5,7,5,3
2020-03-07,Liguria,26,6,10,5,4
2020-03-08,Liguria,39,11,17,5,6
2020-03-09,Liguria,60,17,20,5,7
2020-03-10,Liguria,57,29,42,5,8
2020-03-11,Liguria,74,34,73,5,8
2020-03-12,Liguria,100,36,107,20,11
2020-03-13,Liguria,128,44,132,24,17
2020-02-24,Lombardia,76,19,71,0,6
2020-02-25,Lombardia,79,25,127,0,9
2020-02-26,Lombardia,79,25,145,0,9
2020-02-27,Lombardia,172,41,136,40,14
2020-02-28,Lombardia,235,47,192,40,17
2020-02-29,Lombardia,256,80,216,40,23
2020-03-01,Lombardia,406,106,375,73,24
2020-03-02,Lombardia,478,127,472,139,38
